OID,ec5_uuid,created_at,uploaded_at,title,1_Name_of_the_data_c,2_Date_of_Data_colle,3_Girth_of_the_tree_,4_Time_of_Data_colle,5_Name_of_the_tree__,Lat,Long,accuracy_6_Please_add_locatio,UTM_Northing_6_Please_add_locatio,UTM_Easting_6_Please_add_locatio,UTM_Zone_6_Please_add_locatio,7_Height_of_the_tree,8_Type_of_tree,9_Type_of_tree,10_Whether_fruiting_,11_Whether_flowering,12_Type_of_Leaves,13_Please_take_a_pho,14_Please_click_the_,15_Health_of_the_tre,16_Whether_bird_nest,17_Canopy_cover,18_Any_other_comment
1,62cdc8fe-be23-4c64-ae05-f7a18ab80d47,2024-11-29T06:33:19.000Z,2024-11-29T06:33:27.000Z,62cdc8fe-be23-4c64-ae05-f7a18ab80d47,Anupam Dubey,29-11-2024,500,11:59,Mango,21.377609,81.68572,5,2364094,571086,44Q,6,Native,Evergreen ,No,yes,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=62cdc8fe-be23-4c64-ae05-f7a18ab80d47_1732861936.jpg,,Looks Good ,no,moderate,Mango tree
2,1f131457-6f86-449d-a10f-cab2bb12ec64,2024-11-23T06:52:21.000Z,2024-11-23T06:52:32.000Z,1f131457-6f86-449d-a10f-cab2bb12ec64,SujataSahu,23-11-2024,10,12:19,Neem,19.33383,84.808863,20,2139223,269802,45Q,15,Native,Deciduous ,No,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=1f131457-6f86-449d-a10f-cab2bb12ec64_1732344691.jpg,,Looks Good ,Yes,moderate,No comments
3,6629d074-586b-4cbd-8442-0e1e160648e1,2024-11-23T06:29:41.000Z,2024-11-23T06:29:52.000Z,6629d074-586b-4cbd-8442-0e1e160648e1,Kamini ajmer,23-11-2024,4,00:00,Mango,26.417494,74.651686,6,2921966,465265,43R,5,Native,Evergreen ,Yes,yes,simple,,,Looks Good ,Yes,moderate,
4,d9be501b-f771-4c19-a664-7b01c8fc3c21,2024-11-23T06:28:28.000Z,2024-11-23T06:28:33.000Z,d9be501b-f771-4c19-a664-7b01c8fc3c21,Jagriti sahu,10-12-2024,30,11:56,Mounshree,21.219391,81.660015,23,2346571,568494,44Q,2,Native,Deciduous ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=d9be501b-f771-4c19-a664-7b01c8fc3c21_1732343289.jpg,,Looks Good ,no,moderate,Lucky tree
5,c9d000c4-9c3e-4556-8ef7-acd1ee8a17a1,2024-11-23T06:25:40.000Z,2024-11-23T06:26:09.000Z,c9d000c4-9c3e-4556-8ef7-acd1ee8a17a1,Jagriti Sahu,10-12-2024,15,11:52,Moulshree,21.21934,81.660052,11,2346565,568498,44Q,15,Native,Deciduous ,Yes,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=c9d000c4-9c3e-4556-8ef7-acd1ee8a17a1_1732343092.jpg,,Looks Good ,no,moderate,Lucky tree
6,ee28f4ae-b347-450a-b473-bf22ad408e41,2024-11-23T06:24:01.000Z,2024-11-23T06:24:14.000Z,ee28f4ae-b347-450a-b473-bf22ad408e41,Shailaish,12-11-2024,15,00:50,Native,26.417298,74.65144,20,2921945,465240,43R,6,Native,Evergreen ,,yes,simple,,,Looks Good ,Yes,moderate,
7,39bb8238-54b3-46f4-a7ed-cedae20c30a7,2024-11-23T06:23:33.000Z,2024-11-23T06:23:42.000Z,39bb8238-54b3-46f4-a7ed-cedae20c30a7,Reeta Mondal,23-11-2024,48,11:49,Drumstick tree,21.244844,81.655047,100,2349386,567967,44Q,100,Native,Evergreen ,Yes,no,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=39bb8238-54b3-46f4-a7ed-cedae20c30a7_1732342934.jpg,,Looks Good ,no,moderate,Drumstick is very healthyfor our health.as well as their leaves are also very much health beneficial.
8,dc69ded8-b5ee-4346-826d-443cd11e15b1,2024-11-23T06:23:27.000Z,2024-11-23T06:27:45.000Z,dc69ded8-b5ee-4346-826d-443cd11e15b1,Ramesh Mara,23-11-2024,4,11:49,Neem,18.669068,79.386774,5,2064978,329857,44Q,10,Native,Deciduous ,Yes,yes,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=dc69ded8-b5ee-4346-826d-443cd11e15b1_1732342962.jpg,,Looks Good ,no,moderate,
9,ec5c1014-146e-42c2-97c2-30cd3d5a69b1,2024-11-23T06:22:47.000Z,2024-11-23T06:22:58.000Z,ec5c1014-146e-42c2-97c2-30cd3d5a69b1,Dev,23-11-2024,15,04:48,Neem,26.518698,74.80114,2,2933143,480186,43R,3,Native,Evergreen ,No,no,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=ec5c1014-146e-42c2-97c2-30cd3d5a69b1_1732342918.jpg,,Looks Good ,Yes,Dense,.
10,7749ffaf-65e7-47a6-a7b3-7df326497a64,2024-11-23T06:20:21.000Z,2024-11-23T06:21:23.000Z,7749ffaf-65e7-47a6-a7b3-7df326497a64,SatyanarayanSatapathy,23-11-2024,43,11:47,Mango,19.922176,84.575342,3,2204700,246185,45Q,154,Native,Deciduous ,Yes,yes,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=7749ffaf-65e7-47a6-a7b3-7df326497a64_1732342749.jpg,,Looks Good ,no,moderate,Fruit are coming
11,a68840fa-eb2f-4c77-bf8c-006c396138f9,2024-11-23T06:19:21.000Z,2024-11-23T06:19:49.000Z,a68840fa-eb2f-4c77-bf8c-006c396138f9,Sugyani Kumari Swain,23-11-2024,100,11:47,Banyan,19.300663,84.804038,37,2135557,269249,45Q,15,Native,Evergreen ,Yes,yes,simple,,,Looks Good ,Yes,Dense,Evergreen tree
12,898e9337-d51a-49d9-a8e3-282ec4d1aa08,2024-11-10T08:00:08.000Z,2024-11-10T08:52:43.000Z,898e9337-d51a-49d9-a8e3-282ec4d1aa08,Shailesh Kumar,10-11-2024,90,13:28,Bridelia,18.45477,73.855085,6,2040883,379104,43Q,15,Native,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=898e9337-d51a-49d9-a8e3-282ec4d1aa08_1731225594.jpg,,Looks Good ,no,moderate,
13,5a6058b3-3937-4ecd-9647-58568cf45466,2024-11-10T07:57:53.000Z,2024-11-10T08:52:41.000Z,5a6058b3-3937-4ecd-9647-58568cf45466,Shailesh Kumar,10-11-2024,35,13:26,Palm,18.454814,73.855138,6,2040887,379109,43Q,7,Exotic ,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=5a6058b3-3937-4ecd-9647-58568cf45466_1731225461.jpg,,Looks Good ,no,sparse,
14,35016c60-6e7a-4337-bf7d-2591207fe754,2024-11-10T07:57:30.000Z,2024-11-10T07:57:40.000Z,35016c60-6e7a-4337-bf7d-2591207fe754,Trupti Pundekar,10-11-2024,600,13:25,Peepal tree,18.455023,73.855252,25,2040911,379122,43Q,25,Native,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=35016c60-6e7a-4337-bf7d-2591207fe754_1731225409.jpg,,Looks Good ,no,Dense,Huge tree
15,9b58a2f9-8391-4c29-bfae-22e50ddb758c,2024-11-10T07:57:22.000Z,2024-11-10T07:57:40.000Z,9b58a2f9-8391-4c29-bfae-22e50ddb758c,Rohit kumbhar,10-11-2024,100,13:25,Saptparni,18.454994,73.855104,5,2040907,379106,43Q,45,Native,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=9b58a2f9-8391-4c29-bfae-22e50ddb758c_1731225419.jpg,,Looks Good ,Yes,moderate,Good
16,4a8e5d4e-8286-4f63-8bde-06506290ffb9,2024-11-10T07:56:39.000Z,2024-11-10T08:01:43.000Z,4a8e5d4e-8286-4f63-8bde-06506290ffb9,Shailesh Kumar,10-11-2024,50,13:25,Palm,18.454812,73.855151,6,2040887,379111,43Q,6,Exotic ,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=4a8e5d4e-8286-4f63-8bde-06506290ffb9_1731225387.jpg,,Looks Good ,no,moderate,
17,de167800-3f4a-4f85-8f9b-b694302a4926,2024-11-10T07:55:27.000Z,2024-11-10T08:01:38.000Z,de167800-3f4a-4f85-8f9b-b694302a4926,Shailesh Kumar,10-11-2024,40,13:24,Palm,18.454836,73.855115,4,2040890,379107,43Q,8,Exotic ,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=de167800-3f4a-4f85-8f9b-b694302a4926_1731225312.jpg,,Looks Good ,no,moderate,
18,d186e83b-5a20-4aea-b23f-d3a35b0b5c94,2024-11-10T07:55:01.000Z,2024-11-10T07:55:10.000Z,d186e83b-5a20-4aea-b23f-d3a35b0b5c94,Dattatraya Chaudhari,10-11-2024,300,13:23,Palm Tree,18.454954,73.855046,7,2040903,379100,43Q,18,Exotic ,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=d186e83b-5a20-4aea-b23f-d3a35b0b5c94_1731225286.jpg,,Looks Good ,no,sparse,
19,e080ee5f-3906-4c89-a120-75ebf489af14,2024-11-10T07:54:22.000Z,2024-11-10T07:54:28.000Z,e080ee5f-3906-4c89-a120-75ebf489af14,Trupti Pundekar,10-11-2024,200,13:22,Palm tree,18.454981,73.855263,17,2040906,379123,43Q,20,Exotic ,Evergreen ,No,no,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=e080ee5f-3906-4c89-a120-75ebf489af14_1731225226.jpg,,Looks Good ,no,moderate,Looks Good
20,e8801026-0438-4b7f-8b0e-8f0c5515fa86,2024-11-10T07:54:19.000Z,2024-11-10T07:55:01.000Z,e8801026-0438-4b7f-8b0e-8f0c5515fa86,Rohit kumbhar,10-11-2024,60,13:22,Saptparni,18.455097,73.855028,4,2040919,379098,43Q,25,Native,Evergreen ,,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=e8801026-0438-4b7f-8b0e-8f0c5515fa86_1731225240.jpg,,Looks Good ,no,moderate,Good
