OBJECTID,STATE,LAT,LONG
1,RAJASTHAN,70.9141998,26.9116993
2,RAJASTHAN,71.392601,25.7443008
3,PUNJAB,75.4077988,32.044899
4,RAJASTHAN,73.8664017,29.9283009
5,RAJASTHAN,73.3164978,28.0165997
6,PUNJAB,74.8715973,31.6229
7,PUNJAB,74.6184006,30.9393997
8,PUNJAB,74.7576981,30.6732006
9,PUNJAB,74.9509964,30.2931995
10,RAJASTHAN,74.9656982,28.3001995
11,PUNJAB,75.9133987,31.5349007
12,PUNJAB,75.384697,31.3794003
13,PUNJAB,75.5807037,31.3395004
14,PUNJAB,75.8506012,30.9085007
15,PUNJAB,75.8408966,30.2413998
16,HARYANA,75.0253983,29.5312004
17,HARYANA,75.723999,29.1518002
18,RAJASTHAN,75.3991013,28.1296005
19,HIMACHAL PRADESH,76.125,32.5586014
20,HIMACHAL PRADESH,77.0395966,32.5744019
21,HIMACHAL PRADESH,76.9308014,31.7117996
22,HIMACHAL PRADESH,76.5203018,31.6725006
23,HIMACHAL PRADESH,76.2674026,31.4640999
24,HIMACHAL PRADESH,76.7603989,31.3237
25,PUNJAB,76.5251999,30.9643002
26,HARYANA,76.7870026,30.3759995
27,PUNJAB,76.405899,30.3173008
28,CHANDIGARH,76.7843018,30.7318001
29,HARYANA,76.9840012,29.6924992
30,HARYANA,76.3123016,29.3188
31,HARYANA,76.398201,29.8041
32,HARYANA,76.5867996,28.8882999
33,UTTARAKHAND,79.7694016,29.8428001
34,UTTARAKHAND,79.395401,28.9661999
35,UTTAR PRADESH,78.4610977,28.9064999
36,HARYANA,76.6143036,28.1982002
37,JHARKHAND,86.1606979,23.6411991
38,TAMILNADU,79.6250992,10.7823
39,HARYANA,76.1427994,28.7910995
40,HARYANA,76.1090012,28.0459003
41,HIMACHAL PRADESH,77.1066971,31.9603004
42,HIMACHAL PRADESH,77.1699982,31.0998993
43,HIMACHAL PRADESH,77.1072006,30.9104004
44,HIMACHAL PRADESH,77.2294998,30.5254993
45,UTTAR PRADESH,77.5522003,29.9650002
46,UTTAR PRADESH,77.6990967,29.4717007
47,DELHI,77.1785965,28.6529007
48,UTTAR PRADESH,77.7025986,28.9866009
49,HARYANA,77.0234985,28.9794998
50,UTTAR PRADESH,77.444397,28.6602993
51,HARYANA,77.0273972,28.4662991
52,UTTAR PRADESH,77.8597031,28.4002991
53,HARYANA,77.3282013,28.4279995
54,HIMACHAL PRADESH,78.2614975,31.5468006
