Rotation,Scale,name_of_to,district,state,ELEVATION,Lat,Long
0,0.000000000000000,SUKHANI,KISHANGANJ,BIHAR,0,26.3532009,88.0134964
0,0.000000000000000,KANKIP,KISHANGANJ,BIHAR,0,26.0090008,87.8398972
0,0.000000000000000,MATHURAPUR,KATIHAR,BIHAR,0,25.5501995,88.0297012
0,0.000000000000000,KHUSROPUR,PATNA,BIHAR,0,25.4619007,85.3979034
0,0.000000000000000,SARAI,SHEIKHPURA,BIHAR,0,25.1404991,85.9555969
0,0.000000000000000,TARAPUR,MUNGER,BIHAR,0,25.0876007,86.6567993
0,0.000000000000000,RAMPUR,PASHCHIMI CHAMPARAN,BIHAR,0,27.2259998,84.6539001
0,0.000000000000000,MAINATANR,PASHCHIMI CHAMPARAN,BIHAR,0,27.0937004,84.6464996
0,0.000000000000000,KUKURHA,PASHCHIMI CHAMPARAN,BIHAR,0,27.1816998,84.5639038
0,0.000000000000000,AMOLWA,PASHCHIMI CHAMPARAN,BIHAR,0,27.1987000,84.5071030
0,0.000000000000000,GAWNAHA,PASHCHIMI CHAMPARAN,BIHAR,0,27.2733994,84.5198975
0,0.000000000000000,GOBARDHANA,PASHCHIMI CHAMPARAN,BIHAR,0,27.3211994,84.3169022
0,0.000000000000000,RAMNAGAR,PASHCHIMI CHAMPARAN,BIHAR,0,27.1702003,84.3190994
0,0.000000000000000,HARNATANR,PASHCHIMI CHAMPARAN,BIHAR,0,27.3052998,84.0279999
0,0.000000000000000,PATILAR,PASHCHIMI CHAMPARAN,BIHAR,0,27.0366993,84.2087021
0,0.000000000000000,DHANAHA,PASHCHIMI CHAMPARAN,BIHAR,0,26.9789009,84.1370010
0,0.000000000000000,BHAUNRA,PASHCHIMI CHAMPARAN,BIHAR,0,27.0223007,84.6485977
0,0.000000000000000,LAURIYA NANDANGARH,PASHCHIMI CHAMPARAN,BIHAR,0,26.9878998,84.4060974
0,0.000000000000000,CHUHARI,PASHCHIMI CHAMPARAN,BIHAR,0,26.8992004,84.4733963
0,0.000000000000000,JOGAPATTI,PASHCHIMI CHAMPARAN,BIHAR,0,26.8875008,84.3414001
0,0.000000000000000,MADHUBANI,PASHCHIMI CHAMPARAN,BIHAR,0,27.0051003,84.0986023
0,0.000000000000000,KHAIRATOLA,PASHCHIMI CHAMPARAN,BIHAR,0,26.8997993,84.1344986
0,0.000000000000000,KHTEA,GOPALGANJ,BIHAR,0,26.5629005,84.0854034
0,0.000000000000000,BHORE,GOPALGANJ,BIHAR,0,26.4433994,84.1108017
0,0.000000000000000,THAKRAHA,PASHCHIMI CHAMPARAN,BIHAR,0,26.7814007,84.2675018
0,0.000000000000000,KUCHAIKOT,GOPALGANJ,BIHAR,0,26.5695000,84.2916031
